playlist,name,name_url,artist,album,year,album_art,genres,playcount
liked songs,Act Naturally,https://open.spotify.com/track/762yvPz59OMgb7gGLws6Vi,Buck Owens,"All-Time Greatest Hits, Vol. 1",1990,https://i.scdn.co/image/ab67616d0000b2738e5f97a65d6b8baa73c4d58a,"['country', 'classic country', 'Honky Tonk']",307110
liked songs,Revival,https://open.spotify.com/track/5NB5uPFcHGmwfluq9Sqn3j,Selena Gomez,Revival (Deluxe),2015,https://i.scdn.co/image/ab67616d0000b2736bc7473df6c9d1fd90972e84,"['pop', 'female vocalists', 'Disney']",2964876
liked songs,Kill Em With Kindness,https://open.spotify.com/track/7KxhSJOYiqCDclXDBNlFSZ,Selena Gomez,Revival (Deluxe),2015,https://i.scdn.co/image/ab67616d0000b2736bc7473df6c9d1fd90972e84,"['pop', 'female vocalists', 'Disney']",2964876
liked songs,Hands To Myself,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk,Selena Gomez,Revival (Deluxe),2015,https://i.scdn.co/image/ab67616d0000b2736bc7473df6c9d1fd90972e84,"['pop', 'female vocalists', 'Disney']",2964876
liked songs,Same Old Love,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly,Selena Gomez,Revival (Deluxe),2015,https://i.scdn.co/image/ab67616d0000b2736bc7473df6c9d1fd90972e84,"['pop', 'female vocalists', 'Disney']",2964876
liked songs,Good For You,https://open.spotify.com/track/5xdVqHtFS0eLuNp4Z8Wbpa,Selena Gomez,Revival (Deluxe),2015,https://i.scdn.co/image/ab67616d0000b2736bc7473df6c9d1fd90972e84,"['pop', 'female vocalists', 'Disney']",2964876
liked songs,Me & The Rhythm,https://open.spotify.com/track/4a32Q7bRtWDGSEMbyWKIlj,Selena Gomez,Revival (Deluxe),2015,https://i.scdn.co/image/ab67616d0000b2736bc7473df6c9d1fd90972e84,"['pop', 'female vocalists', 'Disney']",2964876
liked songs,Me & My Girls,https://open.spotify.com/track/4i55R0S2I64mhS5biNbECZ,Selena Gomez,Revival (Deluxe),2015,https://i.scdn.co/image/ab67616d0000b2736bc7473df6c9d1fd90972e84,"['pop', 'female vocalists', 'Disney']",2964876
liked songs,Butterfly,https://open.spotify.com/track/3CisGh5CyKBDnGtjmsszSo,SMiLE.dk,Smile,1998,https://i.scdn.co/image/ab67616d0000b273d66ac669642d75dbb52945ab,"['eurodance', 'swedish', 'dance']",232412
liked songs,seasons,https://open.spotify.com/track/5VBjyOQzqlPNgdRPMM6prF,wave to earth,summer flows 0.02,2020,https://i.scdn.co/image/ab67616d0000b2733f203b8d0d8e54fab416a825,"['k-indie', 'Korean', 'indie rock']",734436
liked songs,Baby Blizzard,https://open.spotify.com/track/3y0j1dKTB0XXJQPRNIEXgN,Baby B3ns,Baby Blizzard,2022,https://i.scdn.co/image/ab67616d0000b273a6601e5fa9a020496e591492,"['german', 'pop', 'booba']",55264
liked songs,i'm yours,https://open.spotify.com/track/37vVp2sWHuuIBOSl1NswP6,Isabel LaRosa,i'm yours,2022,https://i.scdn.co/image/ab67616d0000b2737f73e6587c8ced7cad6e1e02,"['pop', 'hyperpop', 'my top songs']",1001830
liked songs,Footloose,https://open.spotify.com/track/5wruhYtx30AJ7DO0Ta8yJN,Blake Shelton,Footloose (Music From the Motion Picture),2011,https://i.scdn.co/image/ab67616d0000b2730fce63283ab2d824ab28bcaf,"['country', 'modern country', 'Blake Shelton']",1075767
liked songs,greedy,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,2023,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8,"['pop', 'my top songs', 'Canadian']",1984303
liked songs,Misery Business,https://open.spotify.com/track/3l9CW99AHtExIRV4hW2N5m,Paramore,Riot!,2007,https://i.scdn.co/image/ab67616d0000b27369966efa45b125ed6711b43c,"['rock', 'pop punk', 'alternative']",5284038
liked songs,La Lune,https://open.spotify.com/track/0DwaOWI1kC2s98qLj0LTDd,Billie Marten,Writing of Blues and Yellows (Deluxe Version),2016,https://i.scdn.co/image/ab67616d0000b273792675f3474149244b0a65a2,"['indie pop', 'folk', 'british']",652324
liked songs,Right Back Where We Started From,https://open.spotify.com/track/00s8dO3RWrFkBqC9JIy6ag,Maxine Nightingale,Right Back Where We Started From,2019,https://i.scdn.co/image/ab67616d0000b273678fa6a3c5eb21163f280885,"['Disco', 'soul', '70s']",288804
liked songs,Everybody Knows,https://open.spotify.com/track/34b3PCTLUISY153eb2F72k,Sigrid,Justice League (Original Motion Picture Soundtrack),2017,https://i.scdn.co/image/ab67616d0000b2733eac454010205e6047494d06,"['pop', 'norwegian', 'synthpop']",624804
liked songs,We Still Don't Trust You,https://open.spotify.com/track/7sVbKoBdhXtYCEOO6qC1SN,Future,WE STILL DON'T TRUST YOU,2024,https://i.scdn.co/image/ab67616d0000b27341659c9c05bc25a964c9636b,"['Hip-Hop', 'rap', 'trap']",2994301
liked songs,Golden Brown,https://open.spotify.com/track/2AX5E86cn9n2dgioZEjirI,The Stranglers,La Folie,1981,https://i.scdn.co/image/ab67616d0000b273a713f9b06accedba5d963d61,"['new wave', 'post-punk', 'punk']",1465609
liked songs,Que Te Mate El Desierto,https://open.spotify.com/track/5kLLCqfTjDzukD0O0pU3kH,Woodkid,Desierto (Original Motion Picture Score),2016,https://i.scdn.co/image/ab67616d0000b273107c92e6629573c0d7524e25,"['indie', 'alternative', 'folk']",1137243
liked songs,Slow Down,https://open.spotify.com/track/2OsEJFTfzfjG4oC92cuP2c,Selena Gomez,Stars Dance (Bonus Track Version),2013,https://i.scdn.co/image/ab67616d0000b2730e36690135fa1a30d048e604,"['pop', 'female vocalists', 'Disney']",2964876
liked songs,Come & Get It,https://open.spotify.com/track/6LoQHIo74tOzQ8EsLEkhgF,Selena Gomez,Stars Dance (Bonus Track Version),2013,https://i.scdn.co/image/ab67616d0000b2730e36690135fa1a30d048e604,"['pop', 'female vocalists', 'Disney']",2964876
