playlist,name,name_url,artist,album,year,album_art,genres,playcount,similar_songs
Top Tracks,Unwritten,https://open.spotify.com/track/3U5JVgI2x4rDyHGObzJfNf,Natasha Bedingfield,Unwritten,2004,https://i.scdn.co/image/ab67616d0000b273b337e1ca6629a53c66a3b0d4,"['pop', 'female vocalists', 'british']",2809467,"[{'Pocketful of Sunshine': 'Natasha Bedingfield'}, {'These Words': 'Natasha Bedingfield'}, {'Since U Been Gone': 'Kelly Clarkson'}]"
Top Tracks,Big Sleep (feat. Giorgio Moroder),https://open.spotify.com/track/3aNmAv9I8lqis2WjGbxArt,The Weeknd,Hurry Up Tomorrow,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Wake Me Up (feat. Justice)': 'The Weeknd'}, {'Enjoy The Show (feat. Future)': 'The Weeknd'}, {'Saturn': 'SZA'}]"
Top Tracks,With A Smile - Maiah's Cinematic Mix,https://open.spotify.com/track/4o36ywU3IKWiP06r2C7qR6,Maiah Manser,With A Smile (Maiah's Cinematic Mix),2023,https://i.scdn.co/image/ab67616d0000b2732b8cf1d63b5ab07c5d4881c5,"['indie pop', 'indie', 'pop']",55317,[]
Top Tracks,Wicked Games,https://open.spotify.com/track/00aqkszH1FdUiJJWvX6iEl,The Weeknd,House Of Balloons (Original),2011,https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079,"['rnb', 'electronic', 'dubstep']",4957251,"[{'High for This': 'The Weeknd'}, {'The Morning': 'The Weeknd'}, {'Say It': 'Tory Lanez'}]"
Top Tracks,What You Need,https://open.spotify.com/track/4Yw8TyBm9J8cpy2guHUYog,The Weeknd,House Of Balloons (Original),2011,https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Loft Music': 'The Weeknd'}, {'High for This': 'The Weeknd'}, {'Dreamin': 'PARTYNEXTDOOR'}]"
Top Tracks,Opening Night,https://open.spotify.com/track/4oahRRZECfGud6eL7Lj7CO,The Weeknd,Hurry Up Tomorrow,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Given Up on Me': 'The Weeknd'}, {'Baptized in Fear': 'The Weeknd'}, {'30 For 30 (with Kendrick Lamar)': 'SZA'}]"
Top Tracks,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",https://open.spotify.com/track/1otG6j1WHNvl9WgXLWkHTo,Kali Uchis,Isolation,2018,https://i.scdn.co/image/ab67616d0000b27390b4e1905b1fc48c537ec053,"['rnb', 'Neo-Soul', 'alternative rnb']",2805745,[]
Top Tracks,We Still Don't Trust You,https://open.spotify.com/track/7sVbKoBdhXtYCEOO6qC1SN,Future,WE STILL DON'T TRUST YOU,2024,https://i.scdn.co/image/ab67616d0000b27341659c9c05bc25a964c9636b,"['Hip-Hop', 'rap', 'trap']",2994301,"[{'OUT OF MY HANDS': 'Future'}, {'NIGHTS LIKE THIS': 'Future'}, {""I Can't Save You (Interlude) [with Future & feat. Don Toliver]"": 'Metro Boomin'}]"
Top Tracks,TEENAGE FEVER,https://open.spotify.com/track/0ENBIsETigvE4fydGX7pJk,Isaia Huron,Cerulean Tapes,2021,https://i.scdn.co/image/ab67616d0000b273f6dca0db3ad1f87d57ee544c,"['rnb', 'pop', 'USA']",106150,"[{'Self!': 'Isaia Huron'}, {'LIST CRAWLER': 'Isaia Huron'}, {'Right There': 'Alina Baraz'}]"
Top Tracks,"Reflections Laughing (feat. Travis Scott, Florence + The Machine)",https://open.spotify.com/track/2gyHr9WqZeMtzJOpWGuGo6,The Weeknd,Hurry Up Tomorrow,2025,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61,"['rnb', 'electronic', 'dubstep']",4957251,[]
