playlist,name,name_url,artist,artist_url,album,album_url,year,album_art,genres,similar_songs
Recent Tracks,Felicidade (Arr. R. Dyens for Guitar),https://open.spotify.com/track/5WWL7qoGWQuhRuqFW1fkpD,Antônio Carlos Jobim,https://open.spotify.com/artist/3pO5VjZ4wOHCMBXOvbMISG,Play,https://open.spotify.com/album/6YxOpN002FUYXxgUXgnnND,2014,https://i.scdn.co/image/ab67616d0000b2736b89ecb68d6fea4ab21efac7,,[]
Recent Tracks,Romantic Spanish Classical Guitar,https://open.spotify.com/track/1CCAk0JwacKCxzTV9B1Rtk,Romantic Guitar Master,https://open.spotify.com/artist/5lQSU5R4GbTOo0tJfm7465,"Best of Relaxing Classical Guitar Music: Soft Instrumental for Massage, Spa, Meditation & Relaxation",https://open.spotify.com/album/4cYvHeW09sZxZSeyS78dfq,2014,https://i.scdn.co/image/ab67616d0000b27304a3e84ad8c80792fcc950a8,,[]
Recent Tracks,When the Lights Go Down in the City (Instrumental Version),https://open.spotify.com/track/2h82oQinZOr6Pcq8lhZrHY,Soft Background Music,https://open.spotify.com/artist/2voHaTmDMF2QFv95m9SLtq,Perfect Background Music Pop Hits from the Past,https://open.spotify.com/album/0ZIgVcDvEYwO1lB2qEnaSV,2016,https://i.scdn.co/image/ab67616d0000b2739bd89f3243ea34bfd8d721c5,,[]
Recent Tracks,Hallelujah (Instrumental Version),https://open.spotify.com/track/0pphxL0JVfUkHMGQg0CYaj,Soft Background Music,https://open.spotify.com/artist/2voHaTmDMF2QFv95m9SLtq,Perfect Background Music Pop Hits from the Past,https://open.spotify.com/album/0ZIgVcDvEYwO1lB2qEnaSV,2016,https://i.scdn.co/image/ab67616d0000b2739bd89f3243ea34bfd8d721c5,,[]
Recent Tracks,Cavatina,https://open.spotify.com/track/28W5lTZMClVz9fLt6iiaJN,Stanley Myers,https://open.spotify.com/artist/6l6NgkV6IWYKlRN7jHCQmt,Classic Williams -- Romance of the Guitar,https://open.spotify.com/album/3lXBNgLzlsHOP9lLbepn6b,1984,https://i.scdn.co/image/ab67616d0000b2738dfa1f615844a5172a1a2090,,"[{'Elgar: Cello Concerto in E minor, Op. 85: III. Adagio': 'Sir Edward Elgar'}, {'The Fabelmans': 'John Williams'}, {'Carnival of the Animals: The Swan': 'Camille Saint-Saëns'}]"
Recent Tracks,All in Twilight: I. —,https://open.spotify.com/track/4Op2dKEOoHnXbKjCx9ZufD,Toru Takemitsu,https://open.spotify.com/artist/5p6TCmGe9IygOnvamIaZpA,Takemitsu: Complete Original Solo Guitar Works,https://open.spotify.com/album/7yJhOOjZ3EPEghwuyVLH3B,2014,https://i.scdn.co/image/ab67616d0000b273e0e79e9f883d2d31f74ee308,,[]
Recent Tracks,Romance (Arr. J. Williams for Guitar & Orchestra),https://open.spotify.com/track/6kPqRhYyJuK2jmKGUIjYCZ,Traditional,https://open.spotify.com/artist/1U5zgr455OGyIkLNXvDdrf,The Ultimate Guitar Collection,https://open.spotify.com/album/7gGDntw1EndFOxhpTWmmQZ,2005,https://i.scdn.co/image/ab67616d0000b273b4b605afa26472605e00f687,,[]
Recent Tracks,Main Theme (From ''The Wind Rises''),https://open.spotify.com/track/4M0RxgxSk0jBDSqbVeU8y7,Grissini Project,https://open.spotify.com/artist/3a14nCsT2szuTW5dmBhijO,"Grissini Project : Musique de jeux vidéos, animés et films",https://open.spotify.com/album/69QtdOPxyHLIvnsagvHCzi,2018,https://i.scdn.co/image/ab67616d0000b27315d0a47768c90d7111f3588c,,[]
Recent Tracks,"Sonata No. 14 in C-Sharp Minor for Piano, Op. 27:2, ""Moonlight Sonata"": Adagio sostenuto",https://open.spotify.com/track/7Fq7NGJXvTfbw3uRZyoVUC,Henrik Måwe,https://open.spotify.com/artist/1WCGM94WQwqQnisq2QEOHl,Best - Beethoven,https://open.spotify.com/album/3L22GYGJC9UgQQGyPFXz5j,2012,https://i.scdn.co/image/ab67616d0000b273cdf7681ec674e003b693407b,,[]
Recent Tracks,Up - Theme from the Motion Picture,https://open.spotify.com/track/6itnhgWDgGf2GRXVkVIMq4,Giampaolo Pasquile,https://open.spotify.com/artist/3YLKSMEYShoUuQZu4JrHwv,Up (Theme from the Motion Picture),https://open.spotify.com/album/5ZGfu77htL7BJc3U0HIX9V,2013,https://i.scdn.co/image/ab67616d0000b2732cdc3f9c2b1b7080d20eebfa,,"[{'La Vida en Rosa': 'Michele Garruti'}, {'Interstellar- Main Theme': 'Geek Music'}, {'Underwater Wonderscapes': 'Frederic Bernard'}]"
